density,chlorides,volatileacidity,quality
0.99462,0.102,0.39,4
0.99939,0.103,0.41,6
0.99818,0.099,0.45,5
0.9984,0.081,0.51,6
0.99545,0.084,0.29,6
0.99632,0.071,0.715,5
0.99976,0.097,0.66,5
0.99606,0.099,0.685,5
0.99154,0.048,0.42,7
0.9973,0.076,0.54,5
0.9973,0.076,0.54,5
0.99682,0.068,0.48,5
0.99624,0.076,0.46,5
0.9951,0.05,0.27,7
0.99624,0.076,0.46,5
0.99417,0.065,0.57,8
0.99376,0.071,0.61,6
0.99632,0.058,0.685,4
0.99376,0.071,0.61,6
0.99832,0.145,0.44,3
0.99836,0.147,0.47,4
0.99694,0.088,0.685,5
0.99655,0.066,0.665,5
0.99064,0.012,0.28,7
0.99064,0.012,0.28,7
0.99672,0.075,0.31,7
0.99647,0.092,0.5,5
0.99736,0.085,0.42,7
0.99629,0.115,0.66,5
0.99708,0.119,0.5,6
0.9963,0.088,0.685,5
0.9959,0.062,0.25,6
0.99689,0.081,0.64,5
0.99689,0.081,0.64,5
0.9977,0.078,0.68,6
0.99689,0.081,0.64,5
0.99689,0.08,0.63,5
0.99708,0.085,0.43,5
0.99708,0.085,0.43,5
0.99801,0.08,0.42,5
0.99652,0.08,0.36,6
0.99652,0.08,0.36,6
0.99538,0.071,0.735,7
0.99652,0.08,0.36,6
0.99594,0.073,0.26,7
0.99686,0.054,0.28,7
0.99438,0.074,0.56,6
0.99746,0.077,0.62,5
0.99357,0.039,1.01,6
0.99628,0.067,0.42,5
0.99746,0.078,0.62,5
0.99746,0.077,0.62,5
0.99748,0.077,0.635,5
0.99438,0.071,0.49,6
0.99438,0.072,0.51,6
0.99438,0.074,0.56,6
0.99578,0.08,0.63,6
0.99371,0.064,0.715,6
0.99522,0.086,0.56,5
0.99576,0.067,0.35,4
0.99552,0.067,0.21,7
0.99664,0.104,0.38,7
0.99614,0.109,0.31,7
0.99517,0.067,0.47,4
0.99371,0.064,0.715,6
0.99787,0.094,0.61,6
0.99745,0.076,0.6,5
0.99576,0.078,0.56,5
0.99533,0.068,0.715,6
0.99536,0.194,0.31,6
0.99745,0.076,0.6,5
0.99787,0.094,0.61,6
0.99824,0.086,0.75,5
0.99836,0.083,0.8,6
0.99577,0.066,0.52,7
0.99491,0.072,0.57,6
1.00289,0.112,0.9,5
0.99576,0.071,0.34,5
0.99743,0.078,0.66,5
0.99774,0.082,0.45,6
0.99743,0.078,0.66,5
0.99745,0.08,0.63,6
0.9955,0.08,0.59,6
0.99444,0.078,0.31,7
0.9955,0.08,0.59,6
0.99444,0.078,0.31,7
0.99892,0.084,1.02,3
0.99562,0.056,0.31,5
0.99736,0.08,0.635,7
0.99736,0.08,0.635,7
0.9962,0.06,0.59,7
0.9962,0.06,0.59,7
0.998,0.081,0.58,5
0.9964,0.084,0.54,5
0.9948,0.079,0.56,6
0.99528,0.078,0.52,6
0.99331,0.059,0.305,6
0.99577,0.132,0.38,6
0.99901,0.114,0.28,6
0.99674,0.065,0.46,6
0.99639,0.094,0.395,7
0.99331,0.059,0.305,6
0.99512,0.079,0.315,6
0.99395,0.161,0.715,5
0.99824,0.084,0.41,6
0.9964,0.081,0.36,6
0.99504,0.072,0.62,6
0.99786,0.091,0.41,5
0.9964,0.081,0.36,6
0.99504,0.072,0.62,6
0.99824,0.084,0.41,6
0.99516,0.055,0.47,5
0.99604,0.064,0.22,7
0.99786,0.061,0.24,6
0.99736,0.093,0.67,4
0.99516,0.055,0.47,5
0.99468,0.063,0.33,7
0.99746,0.08,0.61,5
0.99748,0.074,0.61,5
0.9971,0.078,0.4,6
0.99748,0.074,0.61,5
0.99746,0.08,0.61,5
0.99543,0.06,0.3,6
0.99543,0.06,0.3,6
0.99791,0.071,0.63,4
0.99356,0.068,0.38,7
0.99425,0.073,0.46,5
0.99509,0.074,0.33,7
0.99484,0.082,0.27,7
0.99834,0.092,0.43,7
0.99864,0.094,0.5,7
0.99498,0.09,0.3,7
0.99566,0.071,0.44,7
0.99745,0.092,0.44,7
0.99408,0.093,0.28,7
0.99552,0.075,0.12,7
0.99552,0.075,0.12,7
0.99552,0.075,0.12,7
0.99408,0.093,0.28,7
0.99536,0.058,0.31,7
0.99458,0.052,0.34,7
0.99538,0.082,0.43,6
0.99648,0.09,0.21,5
0.99568,0.111,0.36,6
0.99613,0.088,0.37,6
0.99519,0.12,0.57,7
0.99735,0.089,0.59,5
0.99518,0.058,0.47,6
0.99592,0.078,0.56,5
0.99654,0.115,0.57,5
0.99546,0.1,0.27,6
0.99518,0.058,0.47,6
0.99554,0.065,0.34,6
0.99604,0.103,0.38,7
0.99733,0.097,0.66,5
0.9943,0.068,0.4,6
0.99669,0.079,0.56,5
0.99724,0.066,0.26,6
0.99724,0.066,0.26,6
0.99643,0.104,0.38,7
0.99605,0.079,0.34,5
0.99658,0.073,0.33,7
0.997,0.083,0.41,5
0.997,0.083,0.41,5
0.99801,0.109,0.59,5
0.99416,0.061,0.4,7
0.9969,0.075,0.45,5
0.99774,0.065,0.5,6
0.99712,0.079,0.86,5
0.99418,0.07,0.52,6
0.99774,0.065,0.5,6
0.9969,0.075,0.45,5
0.99562,0.064,0.58,6
0.9947,0.066,0.34,7
0.99693,0.08,0.36,5
0.99596,0.097,0.39,5
0.99556,0.073,0.295,6
0.99596,0.097,0.39,5
0.99694,0.082,0.34,5
0.99554,0.076,0.4,6
0.99694,0.082,0.34,5
0.99918,0.092,0.35,5
0.99697,0.079,0.6,6
0.99378,0.087,0.66,7
0.99378,0.087,0.66,7
0.99554,0.05,0.84,6
0.99162,0.055,0.69,6
0.99495,0.062,0.43,7
0.99676,0.058,0.35,7
0.99516,0.063,0.29,7
0.9928,0.067,0.36,7
0.99603,0.081,0.43,5
0.9928,0.067,0.36,7
0.99516,0.063,0.29,7
0.99516,0.064,0.3,7
0.99549,0.11,0.35,7
0.99722,0.116,0.5,5
0.99354,0.067,0.28,7
0.9957,0.088,0.32,6
0.99604,0.102,1.005,5
0.99635,0.092,0.71,6
0.99454,0.12,0.58,6
0.99598,0.075,0.39,6
0.99486,0.068,0.38,7
0.99007,0.049,0.18,6
0.99007,0.049,0.18,6
0.99636,0.078,0.5,5
0.99642,0.123,0.36,6
0.99642,0.123,0.36,6
0.99584,0.062,0.51,5
0.99506,0.098,0.32,6
0.99568,0.088,0.58,7
0.99822,0.095,0.83,6
0.99364,0.066,0.31,6
0.99378,0.065,0.795,5
0.99586,0.075,0.34,6
0.99568,0.088,0.58,7
0.99488,0.091,0.59,7
0.99514,0.093,0.55,7
0.99854,0.095,0.82,5
0.99592,0.089,0.57,6
0.99739,0.077,0.745,6
0.99683,0.085,0.37,7
0.99356,0.082,0.31,7
0.99672,0.074,0.91,5
0.9953,0.078,0.41,7
0.99692,0.088,0.5,6
0.99756,0.088,0.965,5
0.99547,0.079,0.49,6
0.99692,0.088,0.5,6
0.99859,0.069,0.39,7
0.99294,0.046,0.39,6
0.99438,0.07,0.44,6
0.99612,0.076,0.78,6
0.99634,0.082,0.43,5
0.99702,0.081,0.49,6
0.99704,0.084,0.5,6
0.99634,0.082,0.43,5
0.99702,0.414,0.46,5
0.99258,0.073,0.605,5
0.99426,0.07,0.33,7
0.99747,0.095,0.64,6
0.99747,0.095,0.64,6
0.99586,0.101,0.48,7
0.99784,0.104,0.42,5
0.9971,0.093,0.53,7
0.99586,0.101,0.48,7
0.9981,0.074,0.23,6
0.99462,0.071,0.4,8
0.9956,0.098,0.38,6
0.99565,0.075,0.29,6
0.99418,0.067,0.74,6
0.9963,0.083,0.61,6
0.99358,0.07,0.52,7
0.99572,0.06,0.31,7
0.99572,0.06,0.31,7
0.997,0.086,0.62,5
0.99498,0.057,0.33,7
0.99892,0.098,0.77,5
0.9968,0.083,0.35,6
0.9972,0.088,0.62,6
0.99892,0.098,0.77,5
0.99769,0.071,0.25,7
0.99534,0.073,0.32,6
0.99817,0.08,0.37,5
0.99817,0.08,0.37,5
0.99316,0.05,0.3,7
0.99471,0.047,0.27,6
0.99316,0.05,0.3,7
0.99685,0.073,0.38,6
0.99617,0.072,0.42,6
0.99685,0.073,0.38,6
0.99529,0.074,0.48,5
0.99738,0.055,0.34,7
0.994,0.057,0.19,6
0.99735,0.095,0.41,7
0.99735,0.095,0.41,7
0.99451,0.083,0.26,8
0.99546,0.086,0.34,6
0.99479,0.081,0.54,6
0.99615,0.079,0.31,7
0.99655,0.117,0.725,6
0.99772,0.087,0.4,5
0.99655,0.117,0.725,6
0.99666,0.096,0.52,5
0.99358,0.216,0.31,7
0.99666,0.096,0.52,5
0.99392,0.072,0.34,6
0.99388,0.071,0.49,6
0.99402,0.078,0.48,6
0.99388,0.071,0.49,6
0.9936,0.073,0.48,6
0.99374,0.048,0.57,5
0.99376,0.069,0.23,6
0.99523,0.068,0.3,7
0.99855,0.09,0.78,5
0.9982,0.171,0.47,6
0.99593,0.07,0.53,6
0.99471,0.092,0.42,7
0.99396,0.056,0.33,6
0.99698,0.074,0.24,6
0.9902,0.046,0.4,6
0.99572,0.091,0.69,6
0.99572,0.091,0.69,6
0.99572,0.091,0.69,6
0.99252,0.065,0.39,6
0.99256,0.066,0.66,5
0.99235,0.076,0.54,8
0.99352,0.062,0.5,6
0.9922,0.055,0.47,6
0.99674,0.081,0.4,6
0.99557,0.096,0.58,4
0.99394,0.055,0.24,7
0.9915,0.063,0.29,6
0.99379,0.072,0.76,6
0.9984,0.095,0.43,5
0.99798,0.092,0.43,6
0.9977,0.058,0.6,6
0.99341,0.045,0.19,5
0.9933,0.075,0.36,7
0.99684,0.089,0.48,7
0.99524,0.061,0.28,7
0.9946,0.067,0.25,6
0.99774,0.08,0.52,6
0.99774,0.08,0.52,6
0.99786,0.104,0.41,5
0.99764,0.079,0.51,6
0.9969,0.08,0.4,6
0.99624,0.08,0.38,6
0.99354,0.043,0.45,6
0.99672,0.065,0.22,6
0.99588,0.066,0.32,5
0.99672,0.076,0.2,6
0.996,0.178,0.5,6
0.99702,0.071,0.41,7
0.99526,0.086,0.39,6
0.99585,0.061,0.35,6
0.99473,0.067,0.33,7
0.99352,0.044,0.58,6
0.99616,0.118,0.6,5
0.99622,0.083,0.42,6
0.99544,0.1,0.58,6
0.99616,0.118,0.6,5
0.99524,0.071,0.18,7
0.9924,0.042,0.51,7
0.99572,0.076,0.41,6
0.99728,0.11,0.41,5
0.99676,0.087,0.36,7
0.99551,0.076,0.45,6
0.99434,0.075,0.32,7
0.99692,0.078,0.785,5
0.99692,0.078,0.785,5
0.99634,0.369,0.44,5
0.99709,0.111,0.54,5
0.99528,0.074,0.33,7
0.99384,0.067,0.34,6
0.99502,0.086,0.5,6
0.99667,0.062,0.36,6
0.99522,0.078,0.59,6
0.99649,0.074,0.42,6
0.99716,0.079,0.36,6
0.99716,0.079,0.36,6
0.99541,0.095,0.61,6
0.99572,0.079,0.88,4
0.99318,0.052,0.66,7
0.99346,0.041,0.915,5
0.99599,0.076,0.35,6
0.99599,0.076,0.35,6
0.99478,0.068,0.39,5
0.99754,0.068,0.4,6
0.99572,0.07,0.66,5
0.99538,0.08,0.64,5
0.99346,0.085,0.43,6
0.9963,0.079,0.8,5
0.99346,0.085,0.43,6
0.99538,0.08,0.64,5
0.99616,0.075,0.955,4
0.99652,0.08,0.4,6
0.99551,0.166,0.885,5
0.99439,0.063,0.25,7
0.99551,0.166,0.885,5
0.99588,0.114,0.745,6
0.99633,0.078,0.43,6
0.99686,0.076,0.58,6
0.99458,0.069,0.57,6
0.9951,0.052,0.26,6
0.99686,0.076,0.58,6
0.99458,0.069,0.57,6
0.99419,0.065,0.34,7
0.99516,0.068,0.42,8
0.99878,0.111,0.74,5
0.99534,0.074,0.36,7
0.99534,0.074,0.36,7
0.99534,0.074,0.36,7
0.99752,0.136,0.72,5
0.99534,0.074,0.36,7
0.99428,0.071,0.39,7
0.99498,0.078,0.65,6
0.9957,0.076,0.44,5
0.99498,0.078,0.65,6
0.99659,0.071,0.38,6
0.99628,0.081,0.33,6
0.99488,0.095,0.27,6
0.99677,0.079,0.57,6
0.99408,0.057,0.34,6
0.996,0.082,0.4,6
0.99478,0.044,0.39,6
0.99734,0.132,0.32,6
0.99734,0.132,0.32,6
0.99678,0.078,0.53,6
0.99638,0.074,0.36,6
0.9992,0.08,0.39,6
0.99922,0.091,0.46,5
0.99592,0.08,0.58,5
0.99769,0.104,0.58,5
0.99157,0.044,0.42,7
0.99718,0.075,0.43,5
0.9947,0.066,0.18,6
0.99621,0.074,0.815,5
0.99718,0.075,0.43,5
0.99614,0.057,0.23,4
0.99242,0.059,0.75,6
0.99572,0.054,0.33,4
0.99659,0.07,0.55,6
0.99242,0.059,0.75,6
0.99798,0.081,0.73,4
0.99488,0.057,0.67,4
0.99494,0.076,0.61,5
0.99729,0.079,0.37,5
0.99414,0.058,0.4,6
0.9983,0.082,0.56,5
0.99721,0.067,0.29,6
0.99655,0.082,0.55,5
0.99502,0.086,0.74,5
0.99655,0.082,0.55,5
0.9949,0.081,0.41,6
0.99514,0.079,0.6,6
0.99514,0.079,0.6,6
0.9963,0.077,0.58,5
0.99627,0.123,0.72,5
0.99569,0.096,0.66,5
0.99628,0.079,0.7,5
0.99358,0.069,0.64,5
0.99499,0.082,0.59,5
0.99633,0.085,0.58,6
0.99538,0.123,0.64,6
0.99538,0.123,0.64,6
0.99632,0.403,0.635,5
0.99437,0.083,1.02,4
0.99726,0.081,0.45,5
0.9978,0.089,0.78,4
0.99456,0.066,0.37,6
0.99564,0.081,0.57,6
0.99564,0.081,0.57,6
0.996,0.068,0.43,6
0.99668,0.079,0.41,6
0.9908,0.044,0.49,8
0.99084,0.048,0.38,6
0.9935,0.049,0.44,6
0.99385,0.077,0.46,5
0.99494,0.073,0.58,5
0.9944,0.102,0.58,6
0.99688,0.075,0.715,6
0.99566,0.05,0.4,4
0.99636,0.114,0.69,6
0.99688,0.075,0.715,6
0.9948,0.062,0.3,7
0.9956,0.077,0.46,6
0.9956,0.077,0.46,6
0.99619,0.084,0.765,6
0.99734,0.096,0.63,6
0.99476,0.071,0.42,5
0.99734,0.09,0.37,5
0.99328,0.068,0.16,6
0.99286,0.056,0.6,5
0.99914,0.068,0.6,5
0.99914,0.068,0.6,5
0.99521,0.1,0.74,5
0.99638,0.073,0.635,6
0.99362,0.056,0.395,6
0.99672,0.084,0.755,4
0.99638,0.073,0.635,6
0.99558,0.093,0.63,5
0.99558,0.093,0.63,5
0.99323,0.064,0.53,6
0.99191,0.063,0.6,6
0.99476,0.137,1.58,3
0.99444,0.08,0.645,6
0.99598,0.1,0.86,6
0.99576,0.064,0.37,6
0.99501,0.081,0.28,5
0.9955,0.087,0.79,5
0.99612,0.073,0.61,5
0.9979,0.088,0.69,5
0.99524,0.068,0.68,4
0.9979,0.088,0.69,5
0.996,0.071,0.62,5
0.99612,0.073,0.61,5
0.9929,0.064,0.51,6
0.99532,0.083,1.18,5
0.99558,0.086,0.36,6
0.99556,0.086,0.36,6
0.99616,0.083,0.63,6
0.99258,0.041,0.74,6
0.99638,0.091,0.44,6
0.99616,0.083,0.63,6
0.99652,0.414,0.76,6
0.99796,0.094,0.66,5
0.99258,0.041,0.74,6
0.99392,0.058,0.34,5
0.99495,0.06,0.36,7
0.9948,0.077,0.46,6
0.9948,0.077,0.46,6
0.9948,0.077,0.46,6
0.9948,0.077,0.46,6
0.9955,0.073,0.52,5
0.99616,0.083,0.6,6
0.99616,0.083,0.6,6
0.99668,0.107,0.87,5
0.99581,0.075,0.39,6
0.9976,0.079,0.775,5
0.99608,0.166,0.835,5
0.99387,0.069,0.58,6
0.99448,0.057,0.5,5
0.99448,0.057,0.5,5
0.99448,0.057,0.5,5
0.99538,0.084,0.51,6
0.99538,0.084,0.51,6
0.99538,0.084,0.51,6
0.99589,0.085,0.54,6
0.99538,0.084,0.51,6
0.99852,0.077,0.42,5
0.99613,0.063,0.44,6
0.99472,0.056,0.59,5
0.99587,0.078,0.655,5
0.99587,0.078,0.655,5
0.99518,0.081,0.57,5
0.99654,0.069,0.6,5
0.99332,0.065,0.62,6
0.9969,0.086,0.645,5
0.9969,0.086,0.645,5
0.99568,0.077,0.58,5
0.99464,0.086,0.32,5
0.99464,0.084,0.34,5
0.99648,0.078,0.43,6
0.99736,0.168,0.64,5
0.99704,0.091,0.475,6
0.99699,0.112,0.54,5
0.99724,0.093,0.85,5
0.99704,0.091,0.475,6
0.99652,0.08,0.83,4
0.995,0.096,0.605,6
0.9971,0.115,0.5,5
0.99576,0.094,0.74,5
0.99725,0.088,0.54,6
0.99656,0.079,0.77,6
0.99396,0.069,0.61,4
0.99623,0.415,0.78,5
0.99476,0.153,0.58,6
0.99623,0.415,0.78,5
0.99664,0.11,0.75,5
0.99471,0.267,0.815,3
0.99586,0.083,0.56,5
0.9946,0.086,0.885,5
0.9953,0.09,0.49,6
0.99609,0.078,0.45,6
0.99557,0.077,0.57,6
0.99557,0.077,0.57,6
0.99534,0.074,0.83,5
0.99613,0.08,0.6,5
0.99613,0.08,0.6,5
0.99593,0.107,0.755,5
0.99668,0.076,0.81,5
0.9961,0.1,0.64,5
0.9961,0.1,0.64,5
0.99718,0.083,0.64,5
0.99524,0.08,0.48,5
0.99292,0.068,0.49,6
0.99612,0.094,0.64,5
0.9942,0.07,0.62,5
0.99612,0.078,0.52,5
0.99669,0.07,0.57,5
0.99745,0.092,0.685,6
0.99745,0.09,0.675,5
0.99584,0.08,0.59,5
0.9966,0.083,0.6,7
0.9956,0.068,0.67,6
0.9962,0.08,0.69,5
0.9962,0.08,0.69,5
0.9963,0.052,0.3,6
0.996,0.061,0.33,8
0.9985,0.082,0.5,6
0.9952,0.062,0.28,7
0.9974,0.062,0.24,6
0.995,0.064,0.51,6
0.995,0.048,0.29,7
0.995,0.064,0.51,6
0.9936,0.082,0.96,6
0.9963,0.071,0.47,6
0.9974,0.062,0.24,6
0.9963,0.104,0.57,5
0.9994,0.077,0.32,5
0.9966,0.065,0.58,5
0.9994,0.077,0.32,5
0.9952,0.064,0.34,7
0.995,0.077,0.53,5
0.9956,0.077,0.64,5
0.995,0.077,0.53,5
0.9965,0.079,0.4,5
0.9956,0.079,0.54,6
0.9968,0.123,0.53,4
0.9974,0.076,0.26,6
0.9974,0.076,0.26,6
0.9971,0.046,0.23,6
0.9957,0.078,0.41,5
0.9962,0.072,0.64,5
0.996,0.049,0.18,5
0.9956,0.066,0.41,5
0.9958,0.069,0.43,6
0.9944,0.042,0.44,6
0.9955,0.069,0.4,7
1.00369,0.214,0.54,6
1.00369,0.214,0.54,6
0.99914,0.169,0.38,5
0.99577,0.07,0.915,5
0.996,0.052,0.59,5
0.99566,0.072,0.67,6
0.9947,0.062,0.37,7
0.99713,0.094,0.785,6
0.99712,0.078,0.63,5
0.99322,0.058,0.58,5
0.99566,0.072,0.67,6
0.99713,0.094,0.785,6
0.99712,0.078,0.63,5
0.99701,0.08,0.67,5
0.99683,0.08,0.58,5
0.99472,0.056,0.38,8
0.9947,0.062,0.37,7
0.99732,0.104,0.32,7
0.99374,0.062,0.58,7
0.99706,0.074,0.49,5
0.99974,0.073,0.45,6
0.99467,0.052,0.9,6
0.99236,0.05,0.54,6
0.99706,0.074,0.49,5
0.99603,0.067,0.29,5
0.99458,0.054,0.2,7
0.99724,0.054,0.42,6
0.99664,0.06,0.785,4
0.99545,0.075,0.64,6
0.99522,0.076,0.63,6
0.9958,0.063,0.59,5
0.9958,0.063,0.59,5
0.99728,0.062,0.48,7
0.99648,0.067,1.04,4
0.99728,0.062,0.48,7
0.99705,0.061,0.98,3
0.99578,0.084,0.69,5
0.99334,0.067,0.7,5
0.99656,0.073,0.35,6
0.99336,0.071,0.6,5
1.00242,0.205,0.5,5
0.99182,0.048,0.47,7
1.00242,0.205,0.5,5
0.99182,0.048,0.47,7
0.99808,0.082,0.875,3
0.99828,0.104,0.28,5
0.99498,0.08,0.62,4
0.99828,0.104,0.28,5
0.99719,0.114,0.58,4
0.99542,0.042,0.33,5
0.99592,0.06,0.91,4
0.99606,0.074,0.655,5
0.99546,0.07,0.68,5
0.99496,0.066,0.64,5
0.9942,0.049,0.54,5
0.99448,0.048,0.57,6
0.99344,0.039,0.22,6
0.9942,0.049,0.54,5
0.99348,0.05,0.65,5
0.99636,0.089,0.54,5
0.99459,0.066,0.31,7
0.99492,0.08,0.43,6
0.99636,0.089,0.54,5
0.99508,0.054,0.74,6
0.99582,0.068,0.895,6
0.99508,0.054,0.74,6
0.99508,0.076,0.725,5
0.99642,0.083,0.82,5
0.99638,0.078,0.585,5
0.99555,0.077,0.44,6
0.99605,0.106,0.38,6
0.996,0.078,0.76,3
0.99562,0.07,0.81,6
0.99605,0.106,0.38,6
0.99814,0.074,0.27,6
0.9941,0.062,0.18,5
0.99661,0.047,0.36,6
0.99712,0.068,0.69,5
0.99588,0.061,0.79,6
0.99294,0.078,0.56,6
0.99842,0.074,0.84,6
0.99842,0.074,0.84,6
0.99633,0.071,0.32,5
0.99489,0.063,0.53,6
0.99647,0.114,0.47,5
0.99665,0.106,0.7,5
0.99489,0.063,0.53,6
0.99585,0.082,0.48,4
0.99633,0.071,0.32,5
0.9953,0.076,0.48,5
0.99522,0.075,0.42,6
0.99552,0.064,0.48,5
0.99553,0.064,0.47,6
0.9951,0.071,0.53,6
0.99714,0.096,0.29,6
0.99608,0.063,0.69,6
0.99444,0.063,0.44,6
0.99631,0.081,0.705,5
0.99573,0.058,0.53,6
0.99717,0.074,0.39,5
0.99397,0.064,0.56,7
0.9959,0.075,0.55,6
0.99528,0.077,0.53,6
0.99484,0.059,0.58,6
0.99538,0.081,0.64,5
0.99714,0.065,0.39,5
0.99646,0.071,0.52,6
0.99666,0.054,0.25,7
0.99472,0.064,0.855,6
0.99758,0.064,0.44,6
0.9955,0.063,0.37,7
0.99531,0.059,0.63,6
0.99575,0.072,0.57,5
0.99306,0.048,0.6,5
0.99783,0.099,0.4,5
0.99419,0.074,0.36,8
0.99783,0.087,0.68,5
0.99768,0.083,0.67,5
0.99586,0.103,0.68,6
0.99765,0.08,0.735,5
0.99627,0.062,0.855,6
0.99514,0.065,0.56,7
0.99636,0.066,0.88,5
0.99627,0.062,0.855,6
0.99787,0.235,0.63,5
0.99622,0.08,0.6,5
0.99622,0.08,0.6,5
0.99622,0.08,0.6,5
0.99546,0.076,0.695,5
0.99546,0.076,0.695,5
0.99546,0.076,0.695,5
0.99489,0.061,0.67,6
0.99494,0.059,0.16,6
0.99546,0.076,0.695,5
0.99629,0.077,0.56,5
0.99396,0.056,0.51,6
0.9934,0.23,0.36,6
0.99514,0.038,0.38,6
0.99632,0.069,0.69,5
0.99467,0.075,0.58,6
0.99677,0.074,0.31,6
0.99474,0.06,0.52,6
0.99588,0.081,0.3,6
0.99622,0.076,0.7,6
0.9954,0.118,0.67,6
0.99402,0.053,0.56,5
0.9947,0.068,0.35,6
0.99402,0.053,0.56,5
0.99362,0.053,0.715,5
0.99578,0.074,0.46,5
0.99484,0.061,0.32,7
0.99494,0.066,0.39,6
0.99492,0.065,0.31,6
0.99483,0.066,0.61,6
0.99414,0.068,0.66,6
0.9977,0.073,0.725,5
0.99314,0.077,0.55,6
0.99402,0.089,0.74,6
0.99574,0.076,0.51,6
0.99651,0.068,0.62,6
0.9949,0.09,0.6,5
0.99512,0.062,0.55,6
0.99574,0.076,0.51,6
0.99547,0.075,0.645,5
0.99549,0.067,0.31,6
